miRNA 1B 2B 3B 4B 5B 6B 7B 8B 9B 10B 11B 12B 13B 14B 15B 16B 17B 18B 19B 20B 21B 22B 23B 24B 25B 26B 27B 28B 29B 30B 31B 32B 33B 34B 35B 36B 37B 38B 39B 40B 41B 42B 43B 44B 45B 46B 47B 48B 49B 50B 51B 52B 53B 54B 55B 56B 57B 58B 59B 60B 61B 62B 63B 64B 65B 66B 67B 68B 69B 70B
hsa-miR-665 127.00 25.00 446.00 103.00 45.00 59.00 20.00 63.00 70.00 18.00 100.00 13.00 46.00 26.00 8.00 63.00 53.00 6.00 0.00 33.00 1.00 7.00 4.00 25.00 6.00 41.00 9.00 2.00 14.00 32.00 29.00 20.00 34.00 3.00 48.00 50.00 424.00 148.00 68.00 257.00 79.00 0.00 9.00 125.00 31.00 131.00 165.00 16.00 74.00 91.00 67.00 44.00 2.00 56.00 24.00 36.00 53.00 21.00 19.00 5.00 108.00 44.00 21.00 21.00 146.00 45.00 120.00 31.00 25.00 0.00
hsa-miR-3622b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4493 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1250-5p 163.00 16.00 181.00 269.00 204.00 83.00 69.00 81.00 80.00 152.00 157.00 34.00 58.00 38.00 33.00 85.00 65.00 55.00 10.00 31.00 7.00 11.00 5.00 68.00 38.00 97.00 13.00 8.00 17.00 60.00 5.00 27.00 50.00 8.00 63.00 26.00 179.00 22.00 144.00 182.00 105.00 18.00 51.00 105.00 41.00 173.00 76.00 49.00 61.00 82.00 64.00 98.00 15.00 28.00 90.00 83.00 89.00 47.00 1.00 16.00 42.00 26.00 21.00 21.00 265.00 121.00 37.00 53.00 48.00 0.00
hsa-miR-3622a-5p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-381-3p 3978.00 1710.00 2706.00 2459.00 962.00 985.00 539.00 825.00 2130.00 435.00 2211.00 790.00 1065.00 673.00 396.00 2772.00 1502.00 530.00 227.00 849.00 284.00 358.00 189.00 1141.00 253.00 2156.00 428.00 528.00 888.00 1324.00 164.00 342.00 1786.00 72.00 953.00 360.00 4956.00 653.00 2037.00 2661.00 2392.00 195.00 659.00 4907.00 1157.00 2452.00 2273.00 341.00 1936.00 2293.00 2629.00 1755.00 437.00 343.00 622.00 563.00 917.00 379.00 312.00 213.00 1257.00 1170.00 505.00 271.00 9892.00 3075.00 1957.00 2282.00 2468.00 424.00
hsa-miR-4709-3p 0.00 0.00 1.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 2.00 3.00 0.00 0.00 0.00 3.00 0.00 2.00 2.00 0.00 0.00 1.00 0.00 0.00 2.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 9.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7159-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6738-5p 2.00 0.00 0.00 2.00 0.00 2.00 0.00 5.00 0.00 0.00 5.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 3.00 0.00 1.00 0.00 7.00 1.00 2.00 1.00 1.00 2.00 2.00 2.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-374b-3p 59.00 11.00 36.00 35.00 17.00 12.00 17.00 20.00 19.00 40.00 41.00 3.00 15.00 9.00 9.00 33.00 25.00 15.00 1.00 12.00 9.00 5.00 3.00 8.00 27.00 27.00 5.00 15.00 5.00 17.00 5.00 1.00 44.00 3.00 16.00 4.00 68.00 5.00 20.00 51.00 45.00 20.00 14.00 77.00 104.00 41.00 55.00 13.00 15.00 46.00 21.00 15.00 17.00 8.00 7.00 5.00 8.00 6.00 3.00 3.00 16.00 6.00 2.00 3.00 68.00 29.00 0.00 35.00 56.00 52.00
hsa-miR-6874-3p 4.00 1.00 1.00 9.00 3.00 1.00 0.00 3.00 1.00 0.00 0.00 0.00 3.00 1.00 0.00 7.00 7.00 0.00 0.00 2.00 1.00 0.00 0.00 2.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 5.00 1.00 2.00 0.00 1.00 1.00 0.00 2.00 1.00 3.00 4.00 2.00 0.00 3.00 2.00 1.00 0.00 0.00 1.00 1.00 0.00 4.00 0.00 0.00 2.00 0.00 1.00 2.00 8.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-448 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548s 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-515-5p 0 0 0 0 4 2 0 0 0 6 6 0 2 0 0 0 2 0 0 0 0 0 0 6 0 0 0 0 0 0 0 4 0 0 0 2 0 0 2 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6891-5p 5.00 0.00 6.00 6.00 6.00 8.00 6.00 2.00 6.00 4.00 5.00 0.00 5.00 0.00 3.00 2.00 2.00 2.00 0.00 4.00 0.00 0.00 0.00 13.00 1.00 0.00 1.00 0.00 0.00 1.00 3.00 6.00 2.00 1.00 1.00 4.00 8.00 1.00 7.00 7.00 1.00 0.00 1.00 0.00 3.00 5.00 4.00 0.00 0.00 3.00 0.00 0.00 0.00 4.00 1.00 4.00 4.00 1.00 0.00 0.00 1.00 0.00 1.00 5.00 0.00 8.00 0.00 0.00 0.00 0.00
hsa-miR-3940-5p 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-431-3p 130.00 30.00 111.00 222.00 52.00 45.00 55.00 81.00 177.00 29.00 104.00 24.00 34.00 30.00 23.00 207.00 61.00 13.00 0.00 45.00 6.00 19.00 16.00 72.00 3.00 87.00 16.00 4.00 23.00 43.00 2.00 25.00 33.00 4.00 36.00 43.00 224.00 45.00 79.00 120.00 111.00 1.00 17.00 245.00 21.00 112.00 91.00 14.00 50.00 97.00 85.00 106.00 7.00 24.00 38.00 24.00 38.00 20.00 20.00 13.00 75.00 43.00 12.00 11.00 248.00 99.00 152.00 76.00 17.00 1.00
hsa-miR-6832-5p 7.00 0.00 5.00 11.00 3.00 5.00 1.00 4.00 12.00 19.00 7.00 5.00 7.00 5.00 4.00 7.00 3.00 0.00 0.00 2.00 0.00 1.00 0.00 3.00 2.00 4.00 4.00 0.00 1.00 0.00 4.00 8.00 1.00 3.00 1.00 2.00 4.00 0.00 2.00 8.00 5.00 1.00 7.00 18.00 3.00 8.00 2.00 0.00 0.00 4.00 7.00 1.00 1.00 3.00 4.00 3.00 2.00 2.00 0.00 1.00 2.00 5.00 5.00 0.00 5.00 7.00 0.00 41.00 0.00 0.00
hsa-miR-103a-2-5p 23.00 2.00 4.00 18.00 14.00 10.00 14.00 23.00 9.00 11.00 27.00 4.00 12.00 7.00 2.00 17.00 8.00 3.00 1.00 2.00 0.00 1.00 0.00 3.00 5.00 11.00 1.00 2.00 0.00 8.00 6.00 16.00 4.00 3.00 9.00 7.00 14.00 13.00 13.00 28.00 30.00 0.00 1.00 21.00 1.00 25.00 30.00 2.00 3.00 9.00 6.00 11.00 4.00 5.00 3.00 6.00 5.00 3.00 5.00 0.00 7.00 5.00 9.00 1.00 11.00 12.00 11.00 0.00 15.00 0.00
hsa-miR-6877-5p 64.00 8.00 32.00 50.00 69.00 28.00 30.00 59.00 38.00 47.00 43.00 27.00 24.00 25.00 25.00 50.00 31.00 19.00 2.00 25.00 0.00 8.00 14.00 21.00 21.00 46.00 14.00 4.00 10.00 31.00 22.00 9.00 12.00 36.00 44.00 22.00 57.00 63.00 50.00 51.00 59.00 10.00 32.00 63.00 14.00 46.00 9.00 32.00 23.00 28.00 24.00 25.00 9.00 51.00 27.00 24.00 23.00 21.00 0.00 10.00 23.00 36.00 24.00 15.00 42.00 24.00 34.00 0.00 0.00 0.00
hsa-miR-1298-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3682-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3155a 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00
hsa-miR-5089-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-648 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-367-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6740-5p 3.00 1.00 3.00 5.00 12.00 3.00 3.00 1.00 1.00 5.00 12.00 0.00 4.00 0.00 1.00 2.00 0.00 0.00 0.00 3.00 0.00 5.00 1.00 5.00 2.00 2.00 3.00 3.00 0.00 1.00 1.00 4.00 1.00 6.00 4.00 4.00 7.00 3.00 2.00 1.00 3.00 1.00 7.00 2.00 0.00 1.00 1.00 2.00 2.00 1.00 2.00 3.00 0.00 8.00 4.00 25.00 10.00 2.00 0.00 0.00 3.00 6.00 7.00 5.00 6.00 7.00 0.00 33.00 0.00 1.00
hsa-miR-450a-2-3p 14.00 5.00 28.00 14.00 30.00 5.00 1.00 4.00 8.00 11.00 25.00 2.00 9.00 2.00 10.00 9.00 3.00 5.00 2.00 0.00 5.00 3.00 0.00 3.00 8.00 6.00 0.00 3.00 2.00 0.00 4.00 6.00 4.00 1.00 10.00 4.00 44.00 7.00 15.00 20.00 28.00 6.00 5.00 29.00 14.00 12.00 16.00 3.00 17.00 10.00 3.00 6.00 0.00 0.00 8.00 4.00 5.00 14.00 2.00 0.00 11.00 9.00 6.00 13.00 15.00 7.00 0.00 0.00 0.00 0.00
hsa-miR-6793-3p 1.00 1.00 3.00 2.00 1.00 1.00 3.00 2.00 2.00 0.00 3.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 5.00 1.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 3.00 0.00 3.00 1.00 2.00 0.00 0.00 0.00 2.00 1.00 4.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 22.00 0.00 0.00 0.00
hsa-miR-541-5p 2.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 3.00 1.00 0.00 0.00 1.00 1.00 0.00 2.00 0.00 0.00 1.00 1.00 1.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 8.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3622a-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6515-3p 2.00 1.00 0.00 1.00 5.00 1.00 5.00 1.00 0.00 2.00 4.00 6.00 2.00 0.00 2.00 2.00 4.00 0.00 0.00 1.00 0.00 0.00 1.00 3.00 2.00 4.00 2.00 0.00 4.00 4.00 0.00 1.00 0.00 2.00 2.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 3.00 2.00 3.00 1.00 0.00 2.00 0.00 2.00 2.00 2.00 0.00 2.00 1.00 2.00 4.00 3.00 0.00 2.00 2.00 1.00 2.00 2.00 5.00 0.00 0.00 8.00 0.00 0.00
hsa-miR-1276 0.00 1.00 3.00 0.00 1.00 0.00 6.00 1.00 6.00 2.00 4.00 1.00 4.00 1.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 2.00 0.00 2.00 0.00 2.00 4.00 1.00 1.00 0.00 0.00 0.00 5.00 3.00 1.00 1.00 4.00 0.00 0.00 2.00 2.00 0.00 1.00 1.00 0.00 0.00 2.00 1.00 0.00 0.00 2.00 1.00 1.00 2.00 0.00 1.00 2.00 0.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6499-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2276-3p 30.00 9.00 11.00 36.00 15.00 14.00 20.00 21.00 12.00 17.00 25.00 6.00 9.00 15.00 5.00 28.00 32.00 16.00 5.00 9.00 4.00 1.00 4.00 2.00 3.00 21.00 1.00 1.00 15.00 12.00 5.00 15.00 6.00 9.00 11.00 5.00 17.00 21.00 18.00 42.00 28.00 11.00 7.00 46.00 6.00 16.00 14.00 9.00 7.00 12.00 20.00 25.00 4.00 11.00 7.00 11.00 24.00 5.00 0.00 4.00 7.00 11.00 10.00 7.00 29.00 17.00 135.00 51.00 0.00 1.00
hsa-miR-3120-3p 153.00 8.00 88.00 151.00 21.00 49.00 34.00 43.00 68.00 90.00 88.00 15.00 37.00 19.00 43.00 107.00 81.00 28.00 9.00 27.00 2.00 9.00 2.00 40.00 35.00 49.00 22.00 4.00 28.00 36.00 7.00 23.00 35.00 6.00 40.00 22.00 145.00 7.00 83.00 187.00 128.00 33.00 24.00 196.00 87.00 91.00 114.00 46.00 15.00 67.00 72.00 38.00 16.00 22.00 53.00 16.00 38.00 17.00 12.00 16.00 44.00 41.00 8.00 1.00 104.00 11.00 0.00 82.00 93.00 0.00
hsa-miR-6780b-5p 0.00 0.00 1.00 0.00 3.00 0.00 1.00 1.00 0.00 2.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00
