miRNA 1A 2A 3A 4A 5A 6A 7A 8A 9A 10A 11A 12A 13A 14A 15A 16A 17A 18A 19A 20A 21A 22A 23A 24A 25A 26A 27A 28A 29A 30A 31A 32A 33A 34A 35A 36A 37A 38A 39A 40A 41A 42A 43A 44A 45A 46A 47A 48A 49A 50A 51A 52A 53A 54A 55A 56A 57A 58A 59A 60A 61A 62A 63A 64A 65A 66A 67A 68A 69A 70A
hsa-miR-665 37.00 4.00 6.00 64.00 172.00 138.00 6.00 23.00 51.00 4.00 56.00 41.00 56.00 79.00 18.00 48.00 3.00 20.00 4.00 7.00 7.00 10.00 12.00 34.00 1.00 5.00 5.00 5.00 20.00 19.00 6.00 75.00 51.00 19.00 119.00 404.00 103.00 180.00 29.00 50.00 20.00 8.00 28.00 9.00 20.00 30.00 26.00 17.00 19.00 149.00 45.00 11.00 7.00 22.00 24.00 121.00 56.00 16.00 4.00 3.00 21.00 67.00 39.00 33.00 57.00 9.00 17.00 91.00 0.00 16.00
hsa-miR-3622b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4493 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1250-5p 107.00 7.00 7.00 208.00 333.00 214.00 53.00 150.00 82.00 94.00 115.00 30.00 55.00 105.00 71.00 74.00 2.00 57.00 23.00 52.00 24.00 22.00 22.00 56.00 18.00 60.00 14.00 24.00 48.00 51.00 8.00 84.00 55.00 32.00 116.00 102.00 45.00 14.00 44.00 41.00 33.00 83.00 113.00 20.00 60.00 80.00 23.00 32.00 14.00 158.00 43.00 38.00 2.00 40.00 87.00 115.00 106.00 65.00 10.00 7.00 33.00 25.00 23.00 35.00 122.00 106.00 194.00 180.00 163.00 121.00
hsa-miR-3622a-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-381-3p 867.00 854.00 112.00 1292.00 3136.00 3800.00 127.00 710.00 2334.00 220.00 1791.00 1007.00 1363.00 1345.00 425.00 2157.00 261.00 717.00 432.00 1054.00 632.00 368.00 495.00 1737.00 74.00 1076.00 436.00 792.00 2274.00 954.00 80.00 1193.00 2009.00 740.00 1059.00 4001.00 473.00 896.00 715.00 255.00 643.00 792.00 1727.00 855.00 1588.00 933.00 1083.00 209.00 501.00 2256.00 1966.00 1313.00 177.00 555.00 574.00 1564.00 2120.00 596.00 148.00 165.00 560.00 981.00 101.00 2425.00 3458.00 808.00 2599.00 5708.00 2652.00 3606.00
hsa-miR-4709-3p 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 5.00 3.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7159-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6738-5p 1.00 0.00 0.00 4.00 1.00 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 2.00 3.00 0.00 1.00 0.00 1.00 2.00 0.00 1.00 2.00 1.00 0.00 0.00 1.00 0.00 2.00 1.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 10.00 0.00 0.00
hsa-miR-374b-3p 18.00 3.00 0.00 20.00 44.00 93.00 0.00 6.00 23.00 23.00 39.00 24.00 15.00 15.00 22.00 28.00 5.00 15.00 8.00 31.00 15.00 3.00 2.00 23.00 6.00 13.00 10.00 17.00 25.00 15.00 3.00 22.00 44.00 14.00 14.00 45.00 10.00 9.00 22.00 6.00 10.00 66.00 42.00 21.00 98.00 20.00 13.00 5.00 2.00 26.00 31.00 26.00 0.00 8.00 17.00 30.00 27.00 21.00 4.00 2.00 11.00 13.00 4.00 9.00 18.00 0.00 0.00 75.00 46.00 0.00
hsa-miR-6874-3p 0.00 0.00 0.00 3.00 5.00 2.00 0.00 3.00 0.00 2.00 2.00 0.00 1.00 0.00 3.00 1.00 0.00 0.00 0.00 5.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 1.00 0.00 2.00 0.00 4.00 0.00 5.00 0.00 4.00 1.00 6.00 1.00 0.00 1.00 2.00 4.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 15.00
hsa-miR-448 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548s 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-515-5p 0 0 0 0 4 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6891-5p 7.00 0.00 3.00 1.00 11.00 39.00 0.00 1.00 2.00 3.00 2.00 2.00 3.00 4.00 5.00 1.00 0.00 14.00 4.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 4.00 1.00 3.00 5.00 1.00 5.00 0.00 2.00 1.00 3.00 3.00 2.00 0.00 2.00 4.00 4.00 1.00 2.00 5.00 0.00 0.00 0.00 3.00 2.00 3.00 3.00 0.00 0.00 0.00 2.00 4.00 0.00 0.00 0.00 0.00 20.00 0.00 0.00 0.00
hsa-miR-3940-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 3.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 15.00 0.00 0.00 0.00 0.00
hsa-miR-431-3p 68.00 11.00 7.00 181.00 221.00 133.00 11.00 60.00 112.00 7.00 99.00 28.00 61.00 53.00 41.00 134.00 4.00 16.00 5.00 40.00 9.00 15.00 26.00 83.00 1.00 28.00 8.00 29.00 43.00 45.00 2.00 83.00 65.00 34.00 44.00 207.00 46.00 46.00 32.00 16.00 17.00 14.00 63.00 33.00 29.00 45.00 48.00 14.00 18.00 141.00 63.00 32.00 5.00 24.00 27.00 74.00 85.00 29.00 4.00 4.00 21.00 90.00 5.00 50.00 65.00 61.00 130.00 149.00 14.00 71.00
hsa-miR-6832-5p 1.00 0.00 1.00 3.00 9.00 9.00 0.00 4.00 8.00 2.00 8.00 1.00 6.00 2.00 10.00 7.00 0.00 1.00 0.00 7.00 0.00 0.00 7.00 3.00 0.00 1.00 0.00 0.00 0.00 1.00 2.00 7.00 2.00 5.00 4.00 2.00 3.00 0.00 1.00 3.00 9.00 12.00 10.00 11.00 9.00 2.00 2.00 1.00 2.00 1.00 6.00 5.00 0.00 2.00 3.00 1.00 5.00 2.00 0.00 0.00 1.00 2.00 1.00 4.00 3.00 0.00 8.00 0.00 0.00 0.00
hsa-miR-103a-2-5p 1.00 0.00 6.00 16.00 11.00 12.00 0.00 1.00 2.00 1.00 12.00 5.00 11.00 20.00 8.00 10.00 2.00 4.00 0.00 3.00 0.00 2.00 9.00 12.00 1.00 2.00 2.00 1.00 7.00 8.00 0.00 6.00 2.00 9.00 15.00 58.00 8.00 17.00 6.00 10.00 7.00 13.00 9.00 2.00 11.00 3.00 4.00 12.00 3.00 15.00 3.00 7.00 0.00 0.00 8.00 18.00 6.00 0.00 0.00 3.00 1.00 4.00 34.00 1.00 1.00 0.00 0.00 20.00 0.00 0.00
hsa-miR-6877-5p 26.00 4.00 20.00 61.00 70.00 24.00 10.00 45.00 25.00 21.00 46.00 36.00 26.00 30.00 67.00 37.00 12.00 25.00 12.00 25.00 6.00 13.00 13.00 34.00 16.00 24.00 8.00 15.00 23.00 20.00 15.00 23.00 23.00 15.00 85.00 23.00 37.00 42.00 28.00 46.00 62.00 48.00 53.00 32.00 41.00 13.00 25.00 34.00 7.00 27.00 20.00 18.00 4.00 7.00 14.00 32.00 34.00 9.00 9.00 6.00 20.00 21.00 31.00 8.00 45.00 0.00 44.00 149.00 30.00 58.00
hsa-miR-1298-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3682-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3155a 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 2.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5089-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-648 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-367-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6740-5p 1.00 0.00 1.00 0.00 7.00 0.00 5.00 27.00 0.00 0.00 2.00 4.00 0.00 1.00 4.00 3.00 2.00 6.00 5.00 13.00 0.00 8.00 5.00 1.00 1.00 4.00 0.00 5.00 0.00 3.00 8.00 6.00 1.00 1.00 3.00 2.00 5.00 10.00 2.00 4.00 4.00 5.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 3.00 0.00 1.00 9.00 1.00 6.00 6.00 2.00 0.00 0.00 1.00 0.00 2.00 1.00 17.00 18.00 0.00 0.00 0.00 0.00
hsa-miR-450a-2-3p 1.00 1.00 0.00 6.00 35.00 33.00 0.00 3.00 1.00 4.00 23.00 5.00 9.00 4.00 1.00 5.00 3.00 18.00 2.00 9.00 4.00 2.00 3.00 10.00 6.00 0.00 5.00 0.00 5.00 7.00 1.00 3.00 6.00 4.00 16.00 17.00 3.00 6.00 1.00 0.00 7.00 6.00 6.00 2.00 5.00 1.00 5.00 4.00 4.00 10.00 3.00 8.00 1.00 1.00 14.00 17.00 19.00 9.00 0.00 0.00 8.00 8.00 3.00 7.00 10.00 0.00 9.00 0.00 0.00 0.00
hsa-miR-6793-3p 0.00 0.00 1.00 6.00 1.00 6.00 0.00 0.00 2.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 3.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 3.00 2.00 3.00 0.00 4.00 5.00 5.00 3.00 2.00 0.00 4.00 0.00 0.00 4.00 0.00 2.00 0.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 1.00 0.00 1.00 2.00 2.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-541-5p 0.00 0.00 0.00 2.00 0.00 1.00 0.00 2.00 4.00 0.00 2.00 0.00 1.00 2.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3622a-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6515-3p 1.00 0.00 0.00 1.00 4.00 0.00 0.00 0.00 1.00 4.00 0.00 2.00 2.00 1.00 1.00 3.00 2.00 2.00 0.00 1.00 2.00 0.00 3.00 0.00 2.00 0.00 4.00 2.00 4.00 1.00 0.00 2.00 2.00 1.00 1.00 3.00 3.00 1.00 0.00 1.00 2.00 5.00 1.00 2.00 1.00 0.00 3.00 2.00 2.00 2.00 0.00 2.00 1.00 0.00 3.00 0.00 0.00 2.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 15.00 0.00 32.00 0.00
hsa-miR-1276 0.00 0.00 0.00 2.00 1.00 2.00 0.00 3.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 5.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 3.00 4.00 0.00 3.00 0.00 6.00 0.00 1.00 5.00 3.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 1.00 0.00 0.00 0.00 0.00 4.00 1.00 2.00 0.00 0.00 0.00 6.00 0.00 0.00 0.00
hsa-miR-6499-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2276-3p 30.00 2.00 0.00 49.00 36.00 25.00 0.00 26.00 14.00 21.00 9.00 6.00 11.00 26.00 24.00 17.00 15.00 31.00 11.00 6.00 0.00 6.00 11.00 12.00 10.00 7.00 1.00 7.00 8.00 16.00 3.00 21.00 2.00 4.00 23.00 11.00 5.00 25.00 6.00 13.00 29.00 43.00 22.00 6.00 12.00 6.00 10.00 17.00 3.00 22.00 13.00 13.00 11.00 3.00 15.00 8.00 18.00 12.00 2.00 0.00 8.00 20.00 17.00 4.00 23.00 0.00 18.00 20.00 0.00 0.00
hsa-miR-3120-3p 38.00 4.00 4.00 104.00 91.00 139.00 5.00 12.00 48.00 64.00 96.00 22.00 63.00 34.00 71.00 79.00 13.00 23.00 8.00 32.00 12.00 14.00 14.00 63.00 23.00 46.00 20.00 17.00 45.00 34.00 6.00 46.00 55.00 46.00 74.00 135.00 27.00 15.00 24.00 23.00 32.00 116.00 113.00 33.00 116.00 39.00 78.00 19.00 5.00 97.00 38.00 18.00 2.00 12.00 34.00 88.00 42.00 35.00 10.00 6.00 25.00 62.00 2.00 33.00 22.00 64.00 36.00 100.00 87.00 68.00
hsa-miR-6780b-5p 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
