miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-665 6.00 29.00 75.00 20.00 51.00 34.00 19.00 3.00 119.00 48.00 404.00 50.00 103.00 424.00 180.00 148.00 29.00 68.00 50.00 257.00 20.00 79.00 8.00 0.00 28.00 9.00 9.00 125.00 20.00 31.00 30.00 131.00 26.00 165.00 17.00 16.00 19.00 74.00 149.00 91.00 45.00 67.00 11.00 44.00 7.00 2.00 22.00 56.00 24.00 24.00 121.00 36.00 56.00 53.00 16.00 21.00 4.00 19.00 3.00 5.00 21.00 108.00 67.00 44.00 39.00 21.00 33.00 21.00 57.00 146.00 9.00 45.00 17.00 120.00 91.00 31.00 0.00 25.00 16.00 0.00
hsa-miR-3622b-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4493 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1250-5p 8.00 5.00 84.00 27.00 55.00 50.00 32.00 8.00 116.00 63.00 102.00 26.00 45.00 179.00 14.00 22.00 44.00 144.00 41.00 182.00 33.00 105.00 83.00 18.00 113.00 51.00 20.00 105.00 60.00 41.00 80.00 173.00 23.00 76.00 32.00 49.00 14.00 61.00 158.00 82.00 43.00 64.00 38.00 98.00 2.00 15.00 40.00 28.00 87.00 90.00 115.00 83.00 106.00 89.00 65.00 47.00 10.00 1.00 7.00 16.00 33.00 42.00 25.00 26.00 23.00 21.00 35.00 21.00 122.00 265.00 106.00 121.00 194.00 37.00 180.00 53.00 163.00 48.00 121.00 0.00
hsa-miR-3622a-5p 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-381-3p 80.00 164.00 1193.00 342.00 2009.00 1786.00 740.00 72.00 1059.00 953.00 4001.00 360.00 473.00 4956.00 896.00 653.00 715.00 2037.00 255.00 2661.00 643.00 2392.00 792.00 195.00 1727.00 659.00 855.00 4907.00 1588.00 1157.00 933.00 2452.00 1083.00 2273.00 209.00 341.00 501.00 1936.00 2256.00 2293.00 1966.00 2629.00 1313.00 1755.00 177.00 437.00 555.00 343.00 574.00 622.00 1564.00 563.00 2120.00 917.00 596.00 379.00 148.00 312.00 165.00 213.00 560.00 1257.00 981.00 1170.00 101.00 505.00 2425.00 271.00 3458.00 9892.00 808.00 3075.00 2599.00 1957.00 5708.00 2282.00 2652.00 2468.00 3606.00 424.00
hsa-miR-4709-3p 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 2.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 3.00 3.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 2.00 9.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7159-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6738-5p 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 3.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 7.00 3.00 1.00 0.00 2.00 1.00 1.00 0.00 1.00 1.00 2.00 2.00 2.00 0.00 2.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 2.00 1.00 1.00 2.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-374b-3p 3.00 5.00 22.00 1.00 44.00 44.00 14.00 3.00 14.00 16.00 45.00 4.00 10.00 68.00 9.00 5.00 22.00 20.00 6.00 51.00 10.00 45.00 66.00 20.00 42.00 14.00 21.00 77.00 98.00 104.00 20.00 41.00 13.00 55.00 5.00 13.00 2.00 15.00 26.00 46.00 31.00 21.00 26.00 15.00 0.00 17.00 8.00 8.00 17.00 7.00 30.00 5.00 27.00 8.00 21.00 6.00 4.00 3.00 2.00 3.00 11.00 16.00 13.00 6.00 4.00 2.00 9.00 3.00 18.00 68.00 0.00 29.00 0.00 0.00 75.00 35.00 46.00 56.00 0.00 52.00
hsa-miR-6874-3p 0.00 0.00 1.00 0.00 0.00 1.00 2.00 0.00 0.00 3.00 4.00 0.00 0.00 5.00 5.00 1.00 0.00 2.00 4.00 0.00 1.00 1.00 6.00 1.00 1.00 0.00 0.00 2.00 1.00 1.00 2.00 3.00 4.00 4.00 0.00 2.00 0.00 0.00 1.00 3.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 1.00 1.00 0.00 2.00 4.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 1.00 2.00 0.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 15.00 0.00
hsa-miR-448 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548s 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-515-5p 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6891-5p 0.00 3.00 4.00 6.00 1.00 2.00 3.00 1.00 5.00 1.00 1.00 4.00 5.00 8.00 0.00 1.00 2.00 7.00 1.00 7.00 3.00 1.00 3.00 0.00 2.00 1.00 0.00 0.00 2.00 3.00 4.00 5.00 4.00 4.00 1.00 0.00 2.00 0.00 5.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 4.00 2.00 1.00 3.00 4.00 3.00 4.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 1.00 4.00 0.00 0.00 1.00 0.00 5.00 0.00 0.00 0.00 8.00 20.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3940-5p 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-431-3p 2.00 2.00 83.00 25.00 65.00 33.00 34.00 4.00 44.00 36.00 207.00 43.00 46.00 224.00 46.00 45.00 32.00 79.00 16.00 120.00 17.00 111.00 14.00 1.00 63.00 17.00 33.00 245.00 29.00 21.00 45.00 112.00 48.00 91.00 14.00 14.00 18.00 50.00 141.00 97.00 63.00 85.00 32.00 106.00 5.00 7.00 24.00 24.00 27.00 38.00 74.00 24.00 85.00 38.00 29.00 20.00 4.00 20.00 4.00 13.00 21.00 75.00 90.00 43.00 5.00 12.00 50.00 11.00 65.00 248.00 61.00 99.00 130.00 152.00 149.00 76.00 14.00 17.00 71.00 1.00
hsa-miR-6832-5p 2.00 4.00 7.00 8.00 2.00 1.00 5.00 3.00 4.00 1.00 2.00 2.00 3.00 4.00 0.00 0.00 1.00 2.00 3.00 8.00 9.00 5.00 12.00 1.00 10.00 7.00 11.00 18.00 9.00 3.00 2.00 8.00 2.00 2.00 1.00 0.00 2.00 0.00 1.00 4.00 6.00 7.00 5.00 1.00 0.00 1.00 2.00 3.00 3.00 4.00 1.00 3.00 5.00 2.00 2.00 2.00 0.00 0.00 0.00 1.00 1.00 2.00 2.00 5.00 1.00 5.00 4.00 0.00 3.00 5.00 0.00 7.00 8.00 0.00 0.00 41.00 0.00 0.00 0.00 0.00
hsa-miR-103a-2-5p 0.00 6.00 6.00 16.00 2.00 4.00 9.00 3.00 15.00 9.00 58.00 7.00 8.00 14.00 17.00 13.00 6.00 13.00 10.00 28.00 7.00 30.00 13.00 0.00 9.00 1.00 2.00 21.00 11.00 1.00 3.00 25.00 4.00 30.00 12.00 2.00 3.00 3.00 15.00 9.00 3.00 6.00 7.00 11.00 0.00 4.00 0.00 5.00 8.00 3.00 18.00 6.00 6.00 5.00 0.00 3.00 0.00 5.00 3.00 0.00 1.00 7.00 4.00 5.00 34.00 9.00 1.00 1.00 1.00 11.00 0.00 12.00 0.00 11.00 20.00 0.00 0.00 15.00 0.00 0.00
hsa-miR-6877-5p 15.00 22.00 23.00 9.00 23.00 12.00 15.00 36.00 85.00 44.00 23.00 22.00 37.00 57.00 42.00 63.00 28.00 50.00 46.00 51.00 62.00 59.00 48.00 10.00 53.00 32.00 32.00 63.00 41.00 14.00 13.00 46.00 25.00 9.00 34.00 32.00 7.00 23.00 27.00 28.00 20.00 24.00 18.00 25.00 4.00 9.00 7.00 51.00 14.00 27.00 32.00 24.00 34.00 23.00 9.00 21.00 9.00 0.00 6.00 10.00 20.00 23.00 21.00 36.00 31.00 24.00 8.00 15.00 45.00 42.00 0.00 24.00 44.00 34.00 149.00 0.00 30.00 0.00 58.00 0.00
hsa-miR-1298-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3682-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3155a 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 0.00 2.00 1.00 0.00 1.00 4.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00
hsa-miR-5089-5p 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-648 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-367-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6740-5p 8.00 1.00 6.00 4.00 1.00 1.00 1.00 6.00 3.00 4.00 2.00 4.00 5.00 7.00 10.00 3.00 2.00 2.00 4.00 1.00 4.00 3.00 5.00 1.00 0.00 7.00 0.00 2.00 0.00 0.00 1.00 1.00 0.00 1.00 2.00 2.00 0.00 2.00 0.00 1.00 3.00 2.00 0.00 3.00 1.00 0.00 9.00 8.00 1.00 4.00 6.00 25.00 6.00 10.00 2.00 2.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 6.00 2.00 7.00 1.00 5.00 17.00 6.00 18.00 7.00 0.00 0.00 0.00 33.00 0.00 0.00 0.00 1.00
hsa-miR-450a-2-3p 1.00 4.00 3.00 6.00 6.00 4.00 4.00 1.00 16.00 10.00 17.00 4.00 3.00 44.00 6.00 7.00 1.00 15.00 0.00 20.00 7.00 28.00 6.00 6.00 6.00 5.00 2.00 29.00 5.00 14.00 1.00 12.00 5.00 16.00 4.00 3.00 4.00 17.00 10.00 10.00 3.00 3.00 8.00 6.00 1.00 0.00 1.00 0.00 14.00 8.00 17.00 4.00 19.00 5.00 9.00 14.00 0.00 2.00 0.00 0.00 8.00 11.00 8.00 9.00 3.00 6.00 7.00 13.00 10.00 15.00 0.00 7.00 9.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6793-3p 2.00 1.00 3.00 0.00 0.00 0.00 4.00 5.00 5.00 1.00 5.00 3.00 3.00 0.00 2.00 0.00 0.00 0.00 4.00 0.00 0.00 1.00 0.00 0.00 4.00 0.00 0.00 2.00 2.00 2.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 2.00 3.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 2.00 0.00 1.00 1.00 4.00 0.00 0.00 1.00 0.00 2.00 0.00 2.00 2.00 0.00 2.00 3.00 0.00 0.00 0.00 0.00 22.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-541-5p 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 3.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 3.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 2.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 1.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3622a-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
