miRNA 1A 1B 2A 2B 3A 3B 4A 4B 5A 5B 6A 6B 7A 7B 8A 8B 9A 9B 10A 10B 11A 11B 12A 12B 13A 13B 14A 14B 15A 15B 16A 16B 17A 17B 18A 18B 19A 19B 20A 20B 21A 21B 22A 22B 23A 23B 24A 24B 25A 25B 26A 26B 27A 27B 28A 28B 29A 29B 30A 30B
hsa-miR-665 37.00 127.00 4.00 25.00 6.00 446.00 64.00 103.00 172.00 45.00 138.00 59.00 6.00 20.00 23.00 63.00 51.00 70.00 4.00 18.00 56.00 100.00 41.00 13.00 56.00 46.00 79.00 26.00 18.00 8.00 48.00 63.00 3.00 53.00 20.00 6.00 4.00 0.00 7.00 33.00 7.00 1.00 10.00 7.00 12.00 4.00 34.00 25.00 1.00 6.00 5.00 41.00 5.00 9.00 5.00 2.00 20.00 14.00 19.00 32.00
hsa-miR-3622b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4493 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1250-5p 107.00 163.00 7.00 16.00 7.00 181.00 208.00 269.00 333.00 204.00 214.00 83.00 53.00 69.00 150.00 81.00 82.00 80.00 94.00 152.00 115.00 157.00 30.00 34.00 55.00 58.00 105.00 38.00 71.00 33.00 74.00 85.00 2.00 65.00 57.00 55.00 23.00 10.00 52.00 31.00 24.00 7.00 22.00 11.00 22.00 5.00 56.00 68.00 18.00 38.00 60.00 97.00 14.00 13.00 24.00 8.00 48.00 17.00 51.00 60.00
hsa-miR-3622a-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00
hsa-miR-381-3p 867.00 3978.00 854.00 1710.00 112.00 2706.00 1292.00 2459.00 3136.00 962.00 3800.00 985.00 127.00 539.00 710.00 825.00 2334.00 2130.00 220.00 435.00 1791.00 2211.00 1007.00 790.00 1363.00 1065.00 1345.00 673.00 425.00 396.00 2157.00 2772.00 261.00 1502.00 717.00 530.00 432.00 227.00 1054.00 849.00 632.00 284.00 368.00 358.00 495.00 189.00 1737.00 1141.00 74.00 253.00 1076.00 2156.00 436.00 428.00 792.00 528.00 2274.00 888.00 954.00 1324.00
hsa-miR-4709-3p 1.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00
hsa-miR-7159-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6738-5p 1.00 2.00 0.00 0.00 0.00 0.00 4.00 2.00 1.00 0.00 1.00 2.00 0.00 0.00 2.00 5.00 1.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-374b-3p 18.00 59.00 3.00 11.00 0.00 36.00 20.00 35.00 44.00 17.00 93.00 12.00 0.00 17.00 6.00 20.00 23.00 19.00 23.00 40.00 39.00 41.00 24.00 3.00 15.00 15.00 15.00 9.00 22.00 9.00 28.00 33.00 5.00 25.00 15.00 15.00 8.00 1.00 31.00 12.00 15.00 9.00 3.00 5.00 2.00 3.00 23.00 8.00 6.00 27.00 13.00 27.00 10.00 5.00 17.00 15.00 25.00 5.00 15.00 17.00
hsa-miR-6874-3p 0.00 4.00 0.00 1.00 0.00 1.00 3.00 9.00 5.00 3.00 2.00 1.00 0.00 0.00 3.00 3.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 1.00 3.00 0.00 1.00 3.00 0.00 1.00 7.00 0.00 7.00 0.00 0.00 0.00 0.00 5.00 2.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 2.00 0.00 1.00 0.00 2.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00
hsa-miR-448 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548s 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-515-5p 0 0 0 0 0 0 0 0 4 4 0 2 0 0 0 0 0 0 4 6 0 6 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6891-5p 7.00 5.00 0.00 0.00 3.00 6.00 1.00 6.00 11.00 6.00 39.00 8.00 0.00 6.00 1.00 2.00 2.00 6.00 3.00 4.00 2.00 5.00 2.00 0.00 3.00 5.00 4.00 0.00 5.00 3.00 1.00 2.00 0.00 2.00 14.00 2.00 4.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 13.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00
hsa-miR-3940-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-431-3p 68.00 130.00 11.00 30.00 7.00 111.00 181.00 222.00 221.00 52.00 133.00 45.00 11.00 55.00 60.00 81.00 112.00 177.00 7.00 29.00 99.00 104.00 28.00 24.00 61.00 34.00 53.00 30.00 41.00 23.00 134.00 207.00 4.00 61.00 16.00 13.00 5.00 0.00 40.00 45.00 9.00 6.00 15.00 19.00 26.00 16.00 83.00 72.00 1.00 3.00 28.00 87.00 8.00 16.00 29.00 4.00 43.00 23.00 45.00 43.00
hsa-miR-6832-5p 1.00 7.00 0.00 0.00 1.00 5.00 3.00 11.00 9.00 3.00 9.00 5.00 0.00 1.00 4.00 4.00 8.00 12.00 2.00 19.00 8.00 7.00 1.00 5.00 6.00 7.00 2.00 5.00 10.00 4.00 7.00 7.00 0.00 3.00 1.00 0.00 0.00 0.00 7.00 2.00 0.00 0.00 0.00 1.00 7.00 0.00 3.00 3.00 0.00 2.00 1.00 4.00 0.00 4.00 0.00 0.00 0.00 1.00 1.00 0.00
hsa-miR-103a-2-5p 1.00 23.00 0.00 2.00 6.00 4.00 16.00 18.00 11.00 14.00 12.00 10.00 0.00 14.00 1.00 23.00 2.00 9.00 1.00 11.00 12.00 27.00 5.00 4.00 11.00 12.00 20.00 7.00 8.00 2.00 10.00 17.00 2.00 8.00 4.00 3.00 0.00 1.00 3.00 2.00 0.00 0.00 2.00 1.00 9.00 0.00 12.00 3.00 1.00 5.00 2.00 11.00 2.00 1.00 1.00 2.00 7.00 0.00 8.00 8.00
hsa-miR-6877-5p 26.00 64.00 4.00 8.00 20.00 32.00 61.00 50.00 70.00 69.00 24.00 28.00 10.00 30.00 45.00 59.00 25.00 38.00 21.00 47.00 46.00 43.00 36.00 27.00 26.00 24.00 30.00 25.00 67.00 25.00 37.00 50.00 12.00 31.00 25.00 19.00 12.00 2.00 25.00 25.00 6.00 0.00 13.00 8.00 13.00 14.00 34.00 21.00 16.00 21.00 24.00 46.00 8.00 14.00 15.00 4.00 23.00 10.00 20.00 31.00
hsa-miR-1298-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3682-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3155a 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00
hsa-miR-5089-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-648 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-367-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6740-5p 1.00 3.00 0.00 1.00 1.00 3.00 0.00 5.00 7.00 12.00 0.00 3.00 5.00 3.00 27.00 1.00 0.00 1.00 0.00 5.00 2.00 12.00 4.00 0.00 0.00 4.00 1.00 0.00 4.00 1.00 3.00 2.00 2.00 0.00 6.00 0.00 5.00 0.00 13.00 3.00 0.00 0.00 8.00 5.00 5.00 1.00 1.00 5.00 1.00 2.00 4.00 2.00 0.00 3.00 5.00 3.00 0.00 0.00 3.00 1.00
hsa-miR-450a-2-3p 1.00 14.00 1.00 5.00 0.00 28.00 6.00 14.00 35.00 30.00 33.00 5.00 0.00 1.00 3.00 4.00 1.00 8.00 4.00 11.00 23.00 25.00 5.00 2.00 9.00 9.00 4.00 2.00 1.00 10.00 5.00 9.00 3.00 3.00 18.00 5.00 2.00 2.00 9.00 0.00 4.00 5.00 2.00 3.00 3.00 0.00 10.00 3.00 6.00 8.00 0.00 6.00 5.00 0.00 0.00 3.00 5.00 2.00 7.00 0.00
hsa-miR-6793-3p 0.00 1.00 0.00 1.00 1.00 3.00 6.00 2.00 1.00 1.00 6.00 1.00 0.00 3.00 0.00 2.00 2.00 2.00 1.00 0.00 0.00 3.00 0.00 0.00 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 3.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 3.00 0.00
hsa-miR-541-5p 0.00 2.00 0.00 0.00 0.00 0.00 2.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 4.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3622a-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6515-3p 1.00 2.00 0.00 1.00 0.00 0.00 1.00 1.00 4.00 5.00 0.00 1.00 0.00 5.00 0.00 1.00 1.00 0.00 4.00 2.00 0.00 4.00 2.00 6.00 2.00 2.00 1.00 0.00 1.00 2.00 3.00 2.00 2.00 4.00 2.00 0.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 0.00 3.00 1.00 0.00 3.00 2.00 2.00 0.00 4.00 4.00 2.00 2.00 0.00 4.00 4.00 1.00 4.00
hsa-miR-1276 0.00 0.00 0.00 1.00 0.00 3.00 2.00 0.00 1.00 1.00 2.00 0.00 0.00 6.00 3.00 1.00 0.00 6.00 3.00 2.00 0.00 4.00 1.00 1.00 0.00 4.00 0.00 1.00 0.00 0.00 5.00 3.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 3.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00
hsa-miR-6499-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2276-3p 30.00 30.00 2.00 9.00 0.00 11.00 49.00 36.00 36.00 15.00 25.00 14.00 0.00 20.00 26.00 21.00 14.00 12.00 21.00 17.00 9.00 25.00 6.00 6.00 11.00 9.00 26.00 15.00 24.00 5.00 17.00 28.00 15.00 32.00 31.00 16.00 11.00 5.00 6.00 9.00 0.00 4.00 6.00 1.00 11.00 4.00 12.00 2.00 10.00 3.00 7.00 21.00 1.00 1.00 7.00 1.00 8.00 15.00 16.00 12.00
hsa-miR-3120-3p 38.00 153.00 4.00 8.00 4.00 88.00 104.00 151.00 91.00 21.00 139.00 49.00 5.00 34.00 12.00 43.00 48.00 68.00 64.00 90.00 96.00 88.00 22.00 15.00 63.00 37.00 34.00 19.00 71.00 43.00 79.00 107.00 13.00 81.00 23.00 28.00 8.00 9.00 32.00 27.00 12.00 2.00 14.00 9.00 14.00 2.00 63.00 40.00 23.00 35.00 46.00 49.00 20.00 22.00 17.00 4.00 45.00 28.00 34.00 36.00
hsa-miR-6780b-5p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 3.00 1.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4769-5p 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 2.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 4.00 7.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1306-5p 257.00 296.00 10.00 145.00 102.00 596.00 340.00 302.00 861.00 1019.00 484.00 223.00 214.00 368.00 449.00 341.00 460.00 214.00 343.00 700.00 1117.00 684.00 107.00 717.00 163.00 92.00 108.00 192.00 523.00 328.00 409.00 335.00 199.00 155.00 417.00 264.00 109.00 61.00 329.00 167.00 174.00 61.00 209.00 180.00 162.00 135.00 365.00 263.00 432.00 297.00 398.00 325.00 173.00 188.00 234.00 149.00 641.00 264.00 326.00 243.00
hsa-miR-519b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-489-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 2.00 2.00 2.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 0.00 1.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-23a-3p 20493.00 76797.00 4511.00 13275.00 4679.00 62979.00 63346.00 88808.00 76080.00 57790.00 88817.00 44703.00 10699.00 35312.00 29144.00 45291.00 32678.00 48303.00 46697.00 62347.00 69990.00 73217.00 18615.00 17236.00 44337.00 40237.00 40036.00 21075.00 43823.00 19366.00 51514.00 65369.00 8384.00 41418.00 31046.00 21749.00 8843.00 7614.00 25009.00 13036.00 10467.00 5448.00 14324.00 10870.00 14546.00 5009.00 50982.00 29165.00 17043.00 29203.00 26688.00 39485.00 14160.00 15235.00 20586.00 5553.00 35426.00 15468.00 27523.00 39317.00
hsa-miR-6796-5p 2.00 1.00 0.00 2.00 0.00 0.00 3.00 0.00 1.00 1.00 6.00 0.00 0.00 3.00 0.00 2.00 1.00 3.00 5.00 0.00 2.00 3.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 5.00 1.00 0.00 0.00 1.00 2.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 2.00 0.00 0.00 4.00 2.00 2.00
hsa-miR-675-3p 0.00 0.00 0.00 0.00 0.00 0.00 3.00 3.00 4.00 1.00 0.00 0.00 0.00 0.00 7.00 1.00 0.00 0.00 0.00 0.00 2.00 2.00 0.00 12.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 4.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00
